item,Happiness_M,Sadness_M,Anger_M,Disgust_M,Fear_M,Pride_M,Valence_M,Arousal_M
Rynek powinien być regulowany w celu ochrony konsumentów,0.03019036166369915,0.06192002445459366,0.1416182518005371,0.0276553425937891,0.06525405496358871,0.08707136660814285,0.43711405992507935,0.20032529532909393
Wolność negatywna jest ważniejsza od równości,0.021677054464817047,0.20655137300491333,0.32482481002807617,0.2272707223892212,0.13289667665958405,0.05780487135052681,0.2849210202693939,0.31372538208961487
Państwo powinno zapewniać osobom w skrajnej biedzie minimum wymagane do przetrwania,0.029793698340654373,0.4212935268878937,0.28565943241119385,0.059142597019672394,0.15316656231880188,0.11189771443605423,0.30840909481048584,0.3352677524089813
Upaństwawianie kluczowych sektorów gospodarki jest korzystne,0.04799482226371765,0.09735520929098129,0.08333516865968704,0.04045814648270607,0.0553009957075119,0.04809868335723877,0.44478633999824524,0.1597311645746231
Wolny rynek korzystnie wpływa na gospodarkę,0.30596235394477844,0.024049634113907814,0.012001242488622665,0.010871929116547108,0.021916702389717102,0.23808686435222626,0.636773407459259,0.14393416047096252
Waluta z parytetem złota jest lepsza od pieniądza fiducjarnego,0.07099393755197525,0.06984180957078934,0.11472178995609283,0.08917835354804993,0.04154791310429573,0.07247859239578247,0.4507025182247162,0.21576610207557678
Rząd powinien zwalczać nierówności w płacach kobiet i mężczyzn,0.02183760516345501,0.1724126636981964,0.2960500717163086,0.05554906278848648,0.11539111286401749,0.054284919053316116,0.35237616300582886,0.2860403060913086
"Rząd powinien ograniczyć import z innych krajów, aby promować producentów krajowych",0.06310047954320908,0.05038382112979889,0.06908300518989563,0.02133718505501747,0.04557390138506889,0.09616828709840775,0.48928582668304443,0.17734849452972412
Podatki to kradzież i docelowo nie powinny istnieć,0.012635895982384682,0.22851096093654633,0.3288310468196869,0.16926860809326172,0.09653890877962112,0.0224649328738451,0.2816820740699768,0.2791323661804199
Podatki powinny być progresywne,0.044063370674848557,0.04692062735557556,0.06626474112272263,0.020659886300563812,0.03876612335443497,0.0818646103143692,0.48668694496154785,0.14620402455329895
Walka o równość klas społecznych jest priorytetem,0.13857831060886383,0.15054364502429962,0.17145398259162903,0.03220965340733528,0.1112288311123848,0.3476480543613434,0.467528373003006,0.38408368825912476
"Emerytura jest kwestią indywidualnego planowania, nie powinna być organizowana przez państwo",0.023715993389487267,0.14415228366851807,0.28145113587379456,0.07343697547912598,0.05979781597852707,0.0498276948928833,0.3542110025882721,0.26780709624290466
Prywatna działalność charytatywna powinna być głównym kanałem pomocy ubogim i potrzebującym,0.26015883684158325,0.05274447053670883,0.017842210829257965,0.007427395321428776,0.02156207151710987,0.29754361510276794,0.6215816140174866,0.19643400609493256
"Licencje, zezwolenia i związki zawodowe są szkodliwe",0.00882205180823803,0.26641830801963806,0.40878111124038696,0.25479257106781006,0.2443239539861679,0.017494691535830498,0.20714175701141357,0.34950318932533264
Związki zawodowe powinny podlegać przepisom obowiązującym każde inne stowarzyszenie,0.02214728482067585,0.07319541275501251,0.2058953046798706,0.04384101927280426,0.04965731129050255,0.07000718265771866,0.3940787613391876,0.21381880342960358
Rząd powinien gwarantować powszechny i darmowy dostęp do opieki zdrowotnej finansowanej z budżetu państwa,0.028803661465644836,0.12323655933141708,0.3167538344860077,0.055962175130844116,0.08152559399604797,0.0998174399137497,0.37814050912857056,0.2911730110645294
Bank centralny musi być w pełni niezależny od władzy wykonawczej,0.029994027689099312,0.0962730124592781,0.1553386002779007,0.032607585191726685,0.08948999643325806,0.08192902058362961,0.4127565324306488,0.23082883656024933
"Silniejsze podmioty gospodarcze, mające dużą przewagę konkurencyjną, powinny podlegać surowym regulacjom",0.02522226981818676,0.12877719104290009,0.08682242035865784,0.04266412928700447,0.2503828704357147,0.04502985626459122,0.393176406621933,0.2094392627477646
Biedni ludzie są biedni w wyniku swoich złych decyzji,0.011314814910292625,0.6642400622367859,0.37534084916114807,0.2265203297138214,0.18344928324222565,0.031049517914652824,0.14549501240253448,0.38984498381614685
Badania naukowe powinny być głównie finansowane przez państwo,0.04717402905225754,0.04150179773569107,0.05356359854340553,0.017071565613150597,0.024001657962799072,0.11835392564535141,0.49704721570014954,0.12462767213582993
Prawo do dziedziczenia powinno zostać zlikwidowane,0.01497519388794899,0.2175220400094986,0.2475050389766693,0.07829975336790085,0.0667039304971695,0.032174933701753616,0.3354966342449188,0.22895897924900055
Własność prywatna powinna zostać zniesiona,0.025540078058838844,0.1211431697010994,0.1733284890651703,0.03791027516126633,0.05438939481973648,0.05704306438565254,0.4053120017051697,0.21757261455059052
Nie jest dopuszczalne ograniczenie własności prywatnej w jakichkolwiek przypadkach,0.022361336275935173,0.09296555072069168,0.1658865213394165,0.04484616965055466,0.05722572281956673,0.06336981058120728,0.408783882856369,0.18488898873329163
"Państwo powinno zajmować się jedynie obroną praw jednostkowych (wojsko, policja, sądy)",0.014019226655364037,0.1727023869752884,0.32708048820495605,0.18695999681949615,0.06127700209617615,0.05141768604516983,0.30905818939208984,0.27378055453300476
Państwo powinno zapewniać najbiedniejszym mieszkanie i godne warunki życia,0.042273279279470444,0.21117828786373138,0.22419530153274536,0.04017191007733345,0.08055971562862396,0.09837974607944489,0.39308738708496094,0.29005640745162964
"Władze powinny zwalczać recesję i wysokie bezrobocie, nawet kosztem wysokiej inflacji",0.011929845437407494,0.33269697427749634,0.4539664387702942,0.13311024010181427,0.3691284954547882,0.03690043464303017,0.21775247156620026,0.3529837429523468
Podwyższenie kwoty wolnej od podatku jest lepszym rozwiązaniem niż wspieranie najbiedniejszych zasiłkami socjalnymi,0.03840852901339531,0.1529301404953003,0.27935439348220825,0.11220802366733551,0.07309295237064362,0.04410208761692047,0.3676914572715759,0.3004809021949768
Państwo powinno organizować budowę strategicznych obiektów,0.05085121840238571,0.05382909998297691,0.0728585347533226,0.01716645620763302,0.04320937395095825,0.1333465278148651,0.4839094579219818,0.16301418840885162
"Od każdego według możliwości, każdemu według potrzeb",0.03175252303481102,0.0726594626903534,0.11976758390665054,0.05316323786973953,0.03462154045701027,0.040015846490859985,0.41267815232276917,0.17578954994678497
